0,1,2,3,4,5
31107.0,2019-11-01,"(882.0, 1142.5]",14,31,-17
31107.0,2019-11-01,"(1142.5, 1403.0]",13,22,-9
31108.0,2019-11-01,"(358.953, 621.75]",4,20,-16
31108.0,2019-11-01,"(621.75, 883.5]",12,25,-13
31108.0,2019-11-01,"(883.5, 1145.25]",28,47,-19
31108.0,2019-11-01,"(1145.25, 1407.0]",15,19,-4
31109.0,2019-11-01,"(419.989, 673.75]",6,21,-15
31109.0,2019-11-01,"(673.75, 926.5]",10,23,-13
31109.0,2019-11-01,"(926.5, 1179.25]",17,23,-6
31109.0,2019-11-01,"(1179.25, 1432.0]",7,16,-9
31110.0,2019-11-01,"(8.578, 365.5]",3,5,-2
31110.0,2019-11-01,"(365.5, 721.0]",21,50,-29
31110.0,2019-11-01,"(721.0, 1076.5]",24,48,-24
31110.0,2019-11-01,"(1076.5, 1432.0]",22,45,-23
31111.0,2019-11-01,"(83.655, 421.25]",1,4,-3
31111.0,2019-11-01,"(421.25, 757.5]",5,19,-14
31111.0,2019-11-01,"(757.5, 1093.75]",13,18,-5
31111.0,2019-11-01,"(1093.75, 1430.0]",12,20,-8
31112.0,2019-11-01,"(514.337, 680.75]",1,6,-5
31112.0,2019-11-01,"(846.5, 1012.25]",1,1,0
31112.0,2019-11-01,"(1012.25, 1178.0]",6,1,5
31113.0,2019-11-01,"(340.916, 613.0]",2,19,-17
31113.0,2019-11-01,"(884.0, 1155.0]",13,1,12
31113.0,2019-11-01,"(1155.0, 1426.0]",12,20,-8
31114.0,2019-11-01,"(91.695, 419.25]",2,7,-5
31114.0,2019-11-01,"(419.25, 745.5]",3,23,-20
31114.0,2019-11-01,"(745.5, 1071.75]",25,35,-10
31114.0,2019-11-01,"(1071.75, 1398.0]",24,38,-14
31115.0,2019-11-01,"(389.0, 737.0]",5,2,3
31115.0,2019-11-01,"(737.0, 1085.0]",8,21,-13
31115.0,2019-11-01,"(1085.0, 1433.0]",19,23,-4
